dataset,generator,local,alpha_global,auc,ap
comgenvid,VEO3,L0,0.8,0.8754923090659272,0.8824848990233981
comgenvid,VEO3,L1,0.2,0.867411371967401,0.8713478247179365
comgenvid,VEO3,L1,0.4,0.8673059657442176,0.8710101036556317
comgenvid,VEO3,L1,0.5,0.8672762039870835,0.8709137479619327
comgenvid,VEO3,L1,0.6,0.8672600830353024,0.8708703003028611
comgenvid,VEO3,L1,0.8,0.8672402418638797,0.8708108843797644
comgenvid,VEO3,L2,0.2,0.8878632794480187,0.894471913656973
comgenvid,VEO3,L2,0.4,0.8886457656460037,0.8963664227207655
comgenvid,VEO3,L2,0.5,0.8871911597660727,0.8947985048171558
comgenvid,VEO3,L2,0.6,0.8848759430756792,0.892209706513615
comgenvid,VEO3,L2,0.8,0.8782812337240391,0.8838268616657812
comgenvid,VEO3,L3,0.2,0.8934671703017346,0.9048280444455045
comgenvid,VEO3,L3,0.4,0.886496718766276,0.8983901909389886
comgenvid,VEO3,L3,0.5,0.8838739639188298,0.8954510905077163
comgenvid,VEO3,L3,0.6,0.8812673300231647,0.8919273955951529
comgenvid,VEO3,L3,0.8,0.8755828344105436,0.8826044291296973
comgenvid,VEO3,P0,0.2,0.8940667457006662,0.9050943463683956
comgenvid,VEO3,P0,0.4,0.8870528916027204,0.8985507696058914
comgenvid,VEO3,P0,0.5,0.8842404055535439,0.8953483685987317
comgenvid,VEO3,P0,0.6,0.88135599525796,0.8915468664401492
comgenvid,VEO3,P0,0.8,0.875354040902575,0.8822267891528319
videofeedback,AnimateDiff,L0,0.2,0.8259000000000001,0.8325331855676955
videofeedback,AnimateDiff,L0,0.4,0.8506222222222223,0.8590096615408331
videofeedback,AnimateDiff,L0,0.5,0.859977777777778,0.8706586066740392
videofeedback,AnimateDiff,L0,0.6,0.866488888888889,0.8793051565226877
videofeedback,AnimateDiff,L0,0.8,0.8721666666666666,0.8862502080129212
videofeedback,AnimateDiff,L1,0.2,0.85375,0.8721029584803806
videofeedback,AnimateDiff,L1,0.4,0.85375,0.8721029584803806
videofeedback,AnimateDiff,L1,0.5,0.85375,0.8721029584803806
videofeedback,AnimateDiff,L1,0.6,0.85375,0.8721029584803806
videofeedback,AnimateDiff,L1,0.8,0.85375,0.8721029584803806
videofeedback,AnimateDiff,L2,0.2,0.7873722222222224,0.7966174885917179
videofeedback,AnimateDiff,L2,0.4,0.8208500000000001,0.8319226474395616
videofeedback,AnimateDiff,L2,0.5,0.8352722222222224,0.8484656651551592
videofeedback,AnimateDiff,L2,0.6,0.8474055555555555,0.8623970879943414
videofeedback,AnimateDiff,L2,0.8,0.8657055555555556,0.8812061816669085
